Nome;Partido;Estado;Codigo;CD01O054O008776;CD01O081O008795;Lado;tsne-1d-one;tsne-2d-two
HAROLDO CATHEDRAL;PSD;Roraima;1;Não Votou;Não;GOVERNO;21.202099;-6.8341093
EDIO LOPES;PR;Roraima;2;Não;Não Votou;GOVERNO;1.1085573;-18.185318
JOENIA WAPICHANA;REDE;Roraima;3;Sim;Sim;OPOSIÇÃO;4.7236977;3.684566
HIRAN GONÇALVES;PP;Roraima;4;Não Votou;Não;GOVERNO;21.202082;-6.834067
JHONATAN DE JESUS;PRB;Roraima;5;Não Votou;Não;GOVERNO;21.202192;-6.834079
NICOLETTI;PSL;Roraima;6;Sim;Não;GOVERNO;20.6941;13.382259
OTACI NASCIMENTO;Solidariedade;Roraima;7;Não;Não;MINORIA;-16.869297;0.95674294
SHÉRIDAN;PSDB;Roraima;8;Sim;Sim;GOVERNO;4.7233915;3.6852715
ANDRÉ ABDON;PP;Amapá;9;Não;Não;GOVERNO;-17.619009;0.32634088
ACÁCIO FAVACHO;PROS;Amapá;10;Não;Não;MINORIA;-17.208523;1.4459674
ALINE GURGEL;PRB;Amapá;11;Não;Não;GOVERNO;-17.619009;0.32634142
CAMILO CAPIBERIBE;PSB;Amapá;12;Sim;Não;OPOSIÇÃO;21.50842;13.530471
LEDA SADALA;Avate;Amapá;14;Sim;Não;MINORIA;20.643059;13.512432
PROFESSORA MARCIVANIA;PCdoB;Amapá;15;Sim;Sim;OPOSIÇÃO;4.72304;3.6843023
VINICIUS GURGEL;PR;Amapá;16;Não;Não Votou;GOVERNO;0.7751534;-17.891245
LUIZ CARLOS;PSDB;Amapá;17;Não;Não Votou;GOVERNO;1.754147;-17.420961
AIRTON FALEIRO;PT;Pará;18;Não;Não Votou;OPOSIÇÃO;1.1087081;-18.185354
BETO FARO;PT;Pará;19;Não;Não Votou;OPOSIÇÃO;1.4491998;-17.149208
CÁSSIO ANDRADE;PSB;Pará;20;Sim;Não;OPOSIÇÃO;20.671978;13.695523
ELCIONE BARBALHO;MDB;Pará;21;Não;Não Votou;GOVERNO;0.7763099;-17.899204
DELEGADO ÉDER MAURO;PSD;Pará;22;Não;Não;GOVERNO;-17.619028;0.32632205
CELSO SABINO;PSDB;Pará;23;Não;Sim;GOVERNO;2.390737;-10.183256
CRISTIANO VALE;PR;Pará;25;Não;Não;GOVERNO;-17.619026;0.3263187
JOSÉ PRIANTE;MDB;Pará;26;Não Votou;Não;GOVERNO;21.202147;-6.834112
EDMILSON RODRIGUES;PSOL;Pará;27;Sim;Obstrução;OPOSIÇÃO;20.917648;13.949562
EDUARDO COSTA;PTB;Pará;28;Sim;Não;GOVERNO;20.678768;13.4218
JÚNIOR FERRARI;PSD;Pará;29;Não;Sim;GOVERNO;2.3911078;-10.183293
OLIVAL MARQUES;DEM;Pará;30;Não;Não;GOVERNO;-16.869297;0.9567429
NILSON PINTO;PSDB;Pará;31;Não;Sim;GOVERNO;2.390922;-10.182775
HÉLIO LEITE;DEM;Pará;32;Não;Não;GOVERNO;-17.619026;0.3263347
JOAQUIM PASSARINHO;PSD;Pará;33;Sim;Não;GOVERNO;21.385937;13.269643
PAULO BENGTSON;PTB;Pará;34;Não;Não Votou;GOVERNO;1.7890892;-17.832624
VAVÁ MARTINS;PRB;Pará;35;Não;Abstenção;GOVERNO;0.7597789;-17.33324
CAPITÃO ALBERTO NETO;PRB;Amazonas;36;Sim;Não Votou;GOVERNO;2.896319;19.144398
BOSCO SARAIVA;Solidariedade;Amazonas;37;Não;Não Votou;MINORIA;1.3635998;-18.160543
ÁTILA LINS;PP;Amazonas;38;Não;Não Votou;GOVERNO;1.4493117;-17.147532
SILAS CÂMARA;PRB;Amazonas;39;Não;Não Votou;GOVERNO;1.7890368;-17.832766
DELEGADO PABLO;PSL;Amazonas;40;Sim;Não Votou;GOVERNO;2.896039;19.144402
JOSÉ RICARDO;PT;Amazonas;41;Não;Não Votou;OPOSIÇÃO;0.7603959;-17.57044
MARCELO RAMOS;PR;Amazonas;42;Não;Não;GOVERNO;-17.208517;1.4459583
SIDNEY LEITE;PSD;Amazonas;43;Não;Não Votou;GOVERNO;1.1086614;-18.185345
EXPEDITO NETTO;PSD;Rondonia;44;Não;Não;GOVERNO;-17.041544;0.47980943
CORONEL CHRISÓSTOMO;PSL;Rondonia;45;Não Votou;Não Votou;GOVERNO;10.855821;-1.1036431
LUCIO MOSQUINI;MDB;Rondonia;46;Não Votou;Não;GOVERNO;21.202171;-6.8341026
JAQUELINE CASSOL;PP;Rondonia;47;Não;Não;GOVERNO;-17.208517;1.445956
LÉO MORAES;Podemos;Rondonia;48;Sim;Sim;MINORIA;4.723412;3.685292
MAURO NAZIF;PSB;Rondonia;49;Sim;Não Votou;OPOSIÇÃO;2.8973944;19.144388
SILVIA CRISTINA;PDT;Rondonia;50;Não;Não;MINORIA;-17.619015;0.32633922
MARIANA CARVALHO;PSDB;Rondonia;51;Sim;Sim;GOVERNO;4.7231574;3.6842375
JESUS SÉRGIO;PDT;Acre;52;Não;Não;MINORIA;-16.869299;0.95674396
ALAN RICK;DEM;Acre;53;Não;Não;GOVERNO;-17.619009;0.3263404
FLAVIANO MELO;MDB;Acre;54;Não;Não Votou;GOVERNO;1.7499199;-17.422064
MANUEL MARCOS;PRB;Acre;55;Não;Não;GOVERNO;-17.208523;1.4459624
JÉSSICA SALES;MDB;Acre;56;Não Votou;Não Votou;GOVERNO;10.85701;-1.1030762
MARA ROCHA;PSDB;Acre;57;Não;Sim;GOVERNO;2.390552;-10.185035
PERPÉTUA ALMEIDA;PCdoB;Acre;58;Sim;Sim;OPOSIÇÃO;4.7236767;3.685471
DRA. VANDA MILANI;Solidariedade;Acre;59;Não;Não;MINORIA;-17.619009;0.32634437
CARLOS HENRIQUE GAGUIM;DEM;Tocantins;60;Não;Não;GOVERNO;-16.929314;0.70857877
DULCE MIRANDA;MDB;Tocantins;61;Não;Não;GOVERNO;-17.619007;0.32634655
CÉLIO MOURA;PT;Tocantins;62;Não;Não Votou;OPOSIÇÃO;1.0283831;-17.1513
ELI BORGES;Solidariedade;Tocantins;63;Não;Não;MINORIA;-17.619017;0.32633767
OSIRES DAMASO;PSC;Tocantins;64;Não;Não;GOVERNO;-17.20852;1.4459567
TIAGO DIMAS;Solidariedade;Tocantins;65;Não;Não;MINORIA;-17.20852;1.4459579
VICENTINHO JÚNIOR;PR;Tocantins;66;Não;Não;GOVERNO;-17.208517;1.4459579
PROFESSORA DORINHA SEABRA REZEN;DEM;Tocantins;67;Não;Não;GOVERNO;-17.04154;0.47981095
ALUISIO MENDES;Podemos;Maranhão;68;Não;Não Votou;MINORIA;1.7891328;-17.832495
CLEBER VERDE;PRB;Maranhão;70;Não;Não;GOVERNO;-17.402536;0.8815594
BIRA DO PINDARÉ;PSB;Maranhão;71;Sim;Não;OPOSIÇÃO;21.376934;13.887179
ANDRÉ FUFUCA;PP;Maranhão;72;Não;Não Votou;GOVERNO;1.0738312;-17.1319
EDILÁZIO JÚNIOR;PSD;Maranhão;73;Não;Não;GOVERNO;-17.619013;0.3263325
HILDO ROCHA;MDB;Maranhão;74;Sim;Não;GOVERNO;20.686367;13.400488
EDUARDO BRAIDE;PMN;Maranhão;75;Sim;Não;GOVERNO;20.66992;13.704235
JOÃO MARCELO SOUZA;MDB;Maranhão;76;Não Votou;Não;GOVERNO;21.201996;-6.834011
GIL CUTRIM;PDT;Maranhão;77;Não;Não;MINORIA;-17.041542;0.47981355
JOSIMAR MARANHÃOZINHO;PR;Maranhão;78;Não;Não Votou;GOVERNO;1.6014212;-17.179964
JUSCELINO FILHO;DEM;Maranhão;79;Não;Não;GOVERNO;-17.402538;0.88155776
JUNIOR LOURENÇO;PR;Maranhão;80;Não;Não;GOVERNO;-17.041542;0.47981146
MÁRCIO JERRY;PCdoB;Maranhão;82;Sim;Sim;OPOSIÇÃO;4.723331;3.6855333
MARRECA FILHO;Patriota;Maranhão;83;Não;Não;MINORIA;-17.208502;1.445948
PASTOR GILDENEMYR;PMN;Maranhão;84;Não;Não;GOVERNO;-17.619009;0.32633942
PEDRO LUCAS FERNANDES;PTB;Maranhão;85;Não;Não Votou;GOVERNO;1.0283793;-17.151302
ZÉ CARLOS;PT;Maranhão;86;Não Votou;Não Votou;OPOSIÇÃO;10.856779;-1.1042665
AJ ALBUQUERQUE;PP;Ceará;87;Não;Não;GOVERNO;-17.208504;1.4459639
CAPITÃO WAGNER;PROS;Ceará;88;Não;Não;MINORIA;-17.402538;0.88155943
ANDRÉ FIGUEIREDO;PDT;Ceará;89;Sim;Não;MINORIA;20.90897;13.165237
CÉLIO STUDART;PV;Ceará;90;Sim;Sim;MINORIA;4.7236476;3.685546
DENIS BEZERRA;PSB;Ceará;91;Sim;Não;OPOSIÇÃO;21.293158;13.193447
DR. JAZIEL;PR;Ceará;92;Não;Não;GOVERNO;-16.869299;0.956743
EDUARDO BISMARCK;PDT;Ceará;93;Não;Não;MINORIA;-17.041542;0.47981355
HEITOR FREIRE;PSL;Ceará;94;Sim;Não;GOVERNO;20.695147;13.3830185
IDILVAN ALENCAR;PDT;Ceará;95;Não;Não;MINORIA;-17.208523;1.4459624
LEÔNIDAS CRISTINO;PDT;Ceará;96;Sim;Não;MINORIA;21.077747;13.982901
DOMINGOS NETO;PSD;Ceará;97;Não;Não Votou;GOVERNO;1.0770241;-17.13073
LUIZIANNE LINS;PT;Ceará;98;Não;Não Votou;OPOSIÇÃO;1.7890887;-17.832623
GENECIAS NORONHA;Solidariedade;Ceará;99;Não Votou;Não;MINORIA;21.202278;-6.8340516
JÚNIOR MANO;PR;Ceará;100;Não;Não;GOVERNO;-17.2085;1.4459457
JOSÉ AIRTON CIRILO;PT;Ceará;101;Não Votou;Não Votou;OPOSIÇÃO;10.85569;-1.1009588
MAURO BENEVIDES FILHO;PDT;Ceará;102;Sim;Sim;MINORIA;4.7236586;3.685516
JOSÉ GUIMARÃES;PT;Ceará;103;Não;Não Votou;OPOSIÇÃO;0.7826917;-17.898409
PEDRO AUGUSTO BEZERRA;PTB;Ceará;104;Não;Não;GOVERNO;-17.208435;1.4458035
ROBÉRIO MONTEIRO;PDT;Ceará;105;Não;Não;MINORIA;-17.619005;0.326348
MOSES RODRIGUES;MDB;Ceará;106;Não;Não Votou;GOVERNO;0.77649033;-17.899439
ROBERTO PESSOA;PSDB;Ceará;107;Não;Não Votou;GOVERNO;1.7620366;-17.4395
VAIDON OLIVEIRA;PROS;Ceará;108;Não;Não;MINORIA;-17.208523;1.4459583
ÁTILA LIRA;PSB;Piauí;109;Sim;Não;OPOSIÇÃO;21.039703;13.978377
FLÁVIO NOGUEIRA;PDT;Piauí;110;Não;Não;MINORIA;-17.208517;1.4459567
ASSIS CARVALHO;PT;Piauí;111;Não;Obstrução;OPOSIÇÃO;-17.618996;0.3263463
IRACEMA PORTELLA;PP;Piauí;113;Não;Não;GOVERNO;-17.041538;0.47981176
JÚLIO CESAR;PSD;Piauí;114;Não Votou;Não;GOVERNO;21.20238;-6.834067
MARCOS AURÉLIO SAMPAIO;MDB;Piauí;115;Sim;Não;GOVERNO;20.671429;13.737612
REJANE DIAS;PT;Piauí;116;Não;Abstenção;OPOSIÇÃO;1.1083547;-18.185274
MARGARETE COELHO;PP;Piauí;117;Não;Não;GOVERNO;-17.619009;0.32634336
MARINA SANTOS;Solidariedade;Piauí;118;Não;Não;MINORIA;-17.402538;0.8815604
FÁBIO FARIA;PSD;Rio Grande do Norte;119;Não Votou;Não;GOVERNO;21.202374;-6.8340535
BENES LEOCÁDIO;PRB;Rio Grande do Norte;120;Não;Não;GOVERNO;-16.869299;0.95674396
BETO ROSADO;PP;Rio Grande do Norte;121;Sim;Não Votou;GOVERNO;2.8959513;19.144384
GENERAL GIRÃO;PSL;Rio Grande do Norte;122;Não;Sim;GOVERNO;2.3913987;-10.18285
RAFAEL MOTTA;PSB;Rio Grande do Norte;123;Sim;Não;OPOSIÇÃO;21.225803;13.161175
JOÃO MAIA;PR;Rio Grande do Norte;124;Não;Não;GOVERNO;-17.61901;0.3263432
WALTER ALVES;MDB;Rio Grande do Norte;125;Não;Não;GOVERNO;-16.869297;0.95674294
NATÁLIA BONAVIDES;PT;Rio Grande do Norte;126;Não;Não Votou;OPOSIÇÃO;1.0770329;-17.130728
DAMIÃO FELICIANO;PDT;Paraíba;127;Não;Não;MINORIA;-17.208523;1.4459674
EFRAIM FILHO;DEM;Paraíba;128;Não Votou;Não Votou;GOVERNO;10.856632;-1.1032283
AGUINALDO RIBEIRO;PP;Paraíba;129;Não;Não;GOVERNO;-17.402538;0.88156074
EDNA HENRIQUE;PSDB;Paraíba;130;Não Votou;Sim;GOVERNO;6.9874473;0.93078494
