Nome;Partido;Estado;Codigo;CD01O206E008995;CD01O206E008996;CD01O206E008997;CD01O207E008998;CD01O207E008999;CD01O207E009000;CD01O207E009001;CD01O207E009002;CD01O208E009003;CD01O208E009004;CD01O208E009005;CD01O210E009006;CD01O210E009007;CD01O210E009008;CD01O210E009009;CD01O210E009010;CD01O210E009011;CD01O215O009012;CD01O216E009013;CD01O216E009014;CD01O216E009015;CD01O216E009016;CD01O218E009018;CD01O218E009019;CD01O218E009021;CD01O218E009022;CD01O218E009023;CD01O218E009024;CD01O218E009025;Lado;tsne-1d-one;tsne-2d-two
HAROLDO CATHEDRAL;PSD;Roraima;1;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;GOVERNO;10.676767;13.506398
EDIO LOPES;PL;Roraima;2;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não;Sim;MINORIA;7.373624;22.287159
JOENIA WAPICHANA;REDE;Roraima;3;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não Votou;Não;Não;Não;Sim;Não;OPOSIÇÃO;-25.532145;-22.448677
HIRAN GONÇALVES;PP;Roraima;4;Não Votou;Sim;Obstrução;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;GOVERNO;4.760277;3.091342
JHONATAN DE JESUS;PRB;Roraima;5;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Sim;Não;Sim;GOVERNO;1.6023508;14.772981
NICOLETTI;PSL;Roraima;6;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;20.58762;3.2657688
OTACI NASCIMENTO;Solidariedade;Roraima;7;Não;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;MINORIA;5.9395943;11.630309
SHÉRIDAN;PSDB;Roraima;8;Não;Não Votou;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;6.1339717;16.168297
ANDRÉ ABDON;PP;Amapá;9;Não Votou;Não Votou;Obstrução;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não Votou;Sim;GOVERNO;11.082235;11.614463
ACÁCIO FAVACHO;PROS;Amapá;10;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;MINORIA;15.729038;10.434676
ALINE GURGEL;PRB;Amapá;11;Não Votou;Sim;Sim;Não;Não;Não Votou;Não Votou;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;GOVERNO;-20.912628;-10.96556
CAMILO CAPIBERIBE;PSB;Amapá;12;Sim;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Não;Obstrução;Obstrução;Não;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;OPOSIÇÃO;-20.618181;-22.672106
LEDA SADALA;Avate;Amapá;14;Não;Sim;Não;Não;Não;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;MINORIA;5.6788445;19.180845
PROFESSORA MARCIVANIA;PCdoB;Amapá;15;Não Votou;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Não;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;OPOSIÇÃO;-20.682375;-21.631168
VINICIUS GURGEL;PL;Amapá;16;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;MINORIA;-7.9586344;3.4925213
LUIZ CARLOS;PSDB;Amapá;17;Não;Sim;Obstrução;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;GOVERNO;4.1531157;15.250609
AIRTON FALEIRO;PT;Pará;18;Abstenção;Não Votou;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Não;Obstrução;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não Votou;Obstrução;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;OPOSIÇÃO;-21.656296;-20.337341
