Nome;Partido;Estado;Codigo;CD01O004O008658;CD01O004O008660;CD01O006O008679;CD01O008E008686;CD01O010O008688;CD01O010O008689;CD01O010O008694;CD01O010O008695;CD01O011O008696;CD01O011O008697;CD01O011O008698;CD01O011O008699;CD01O011O008700;CD01O011O008701;CD01O011O008702;CD01O012E008703;CD01O012E008704;CD01O012E008705;CD01O013E008706;Lado;tsne-1d-one;tsne-2d-two
HAROLDO CATHEDRAL;PSD;Roraima;1;Não;Não;Sim;Não Votou;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;GOVERNO;14.909848;-0.47069523
EDIO LOPES;PR;Roraima;2;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;GOVERNO;2.7107916;0.5127747
JOENIA WAPICHANA;REDE;Roraima;3;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;OPOSIÇÃO;-12.583754;-14.545351
HIRAN GONÇALVES;PP;Roraima;4;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não Votou;Não Votou;Sim;Não;GOVERNO;-12.946534;-8.842816
JHONATAN DE JESUS;PRB;Roraima;5;Não Votou;Sim;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;GOVERNO;-9.490318;-11.445753
NICOLETTI;PSL;Roraima;6;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;23.004183;21.972624
OTACI NASCIMENTO;Solidariedade;Roraima;7;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;MINORIA;-0.32580608;-2.233975
SHÉRIDAN;PSDB;Roraima;8;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;13.505197;11.626886
ANDRÉ ABDON;PP;Amapá;9;Não;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;14.330805;12.446673
ACÁCIO FAVACHO;PROS;Amapá;10;Sim;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;MINORIA;9.155745;-3.453191
ALINE GURGEL;PRB;Amapá;11;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Não;Não;GOVERNO;-4.323597;-1.964613
CAMILO CAPIBERIBE;PSB;Amapá;12;Sim;Sim;Não;Não Votou;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não Votou;OPOSIÇÃO;-29.61996;-17.221785
LEDA SADALA;Avate;Amapá;14;Não Votou;Não;Não Votou;Não;Sim;Não;Não;Não;Não;Não;Não;Não Votou;Não;Sim;Sim;Não Votou;Não;Não;Não;MINORIA;-3.2706501;-6.420952
PROFESSORA MARCIVANIA;PCdoB;Amapá;15;Sim;Não Votou;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Obstrução;OPOSIÇÃO;-30.557335;-17.345825
VINICIUS GURGEL;PR;Amapá;16;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-6.68358;-10.312738
LUIZ CARLOS;PSDB;Amapá;17;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;14.654243;3.0042648
AIRTON FALEIRO;PT;Pará;18;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-17.494366;-22.624847
BETO FARO;PT;Pará;19;Não Votou;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-19.498846;-21.019201
CÁSSIO ANDRADE;PSB;Pará;20;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;OPOSIÇÃO;-26.724483;-15.397117
ELCIONE BARBALHO;MDB;Pará;21;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;17.409939;17.898684
DELEGADO ÉDER MAURO;PSD;Pará;22;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;13.961227;19.948036
CELSO SABINO;PSDB;Pará;23;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;14.047581;7.594764
CRISTIANO VALE;PR;Pará;25;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;13.450036;4.7588263
JOSÉ PRIANTE;MDB;Pará;26;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;GOVERNO;14.50719;17.40849
EDMILSON RODRIGUES;PSOL;Pará;27;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Obstrução;Obstrução;Não;Obstrução;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Não Votou;OPOSIÇÃO;-20.862253;-21.59906
EDUARDO COSTA;PTB;Pará;28;Não Votou;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Não;Sim;Não;Não Votou;Não;Sim;Não Votou;GOVERNO;-10.413261;-9.915217
JÚNIOR FERRARI;PSD;Pará;29;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;11.86653;6.6763644
OLIVAL MARQUES;DEM;Pará;30;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;17.934637;15.913137
NILSON PINTO;PSDB;Pará;31;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.567878;5.639606
HÉLIO LEITE;DEM;Pará;32;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-6.7166905;-9.244167
