Nome;Partido;Estado;Codigo;CC01O010E008955;CD01O185E008959;CD01O185E008960;CD01O187E008961;CD01O187E008962;CD01O187E008963;CD01O187E008964;CD01O187E008965;CD01O188E008966;CD01O188E008967;CD01O188E008968;CD01O189E008969;CD01O189E008970;CD01O189E008971;CD01O189E008972;CD01O191E008973;CD01O191E008974;CD01O191E008975;CD01O192E008976;CD01O192E008977;CD01O192E008978;CD01O192E008979;CD01O194E008980;CD01O194E008981;CD01O194E008982;CD01O194E008983;CD01O195E008984;CD01O195E008985;CD01O195E008986;CD01O195E008988;CD01O196E008989;CD01O196E008990;CD01O196E008991;CD01O196E008992;CD01O196E008993;Lado;tsne-1d-one;tsne-2d-two
HAROLDO CATHEDRAL;PSD;Roraima;1;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;3.6479175;-0.51774704
EDIO LOPES;PL;Roraima;2;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;MINORIA;0.8766594;-3.0438943
JOENIA WAPICHANA;REDE;Roraima;3;Não;Não;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não Votou;Não;Obstrução;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não;Sim;OPOSIÇÃO;-21.223356;-28.316168
HIRAN GONÇALVES;PP;Roraima;4;Sim;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Sim;Sim;GOVERNO;-2.285882;-0.16903624
JHONATAN DE JESUS;PRB;Roraima;5;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;20.160393;5.068346
NICOLETTI;PSL;Roraima;6;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;14.569164;12.567724
OTACI NASCIMENTO;Solidariedade;Roraima;7;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;14.517162;23.13324
SHÉRIDAN;PSDB;Roraima;8;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;16.258543;13.432948
ANDRÉ ABDON;PP;Amapá;9;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;GOVERNO;6.933885;-1.6835107
ACÁCIO FAVACHO;PROS;Amapá;10;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;MINORIA;-0.88922584;-10.865925
ALINE GURGEL;PRB;Amapá;11;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Sim;GOVERNO;-20.127321;-21.27667
CAMILO CAPIBERIBE;PSB;Amapá;12;Obstrução;Sim;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Obstrução;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não Votou;Não;Não;Não;Sim;OPOSIÇÃO;-22.989788;-22.216719
LEDA SADALA;Avate;Amapá;14;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;5.9699016;2.106115
PROFESSORA MARCIVANIA;PCdoB;Amapá;15;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Sim;Não;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não;Sim;Sim;Não;Não;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não;Não;Sim;OPOSIÇÃO;-34.383736;-16.562843
VINICIUS GURGEL;PL;Amapá;16;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;MINORIA;-2.5786707;-11.459821
LUIZ CARLOS;PSDB;Amapá;17;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;14.2722;16.891922
AIRTON FALEIRO;PT;Pará;18;Não;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não;Obstrução;Abstenção;Abstenção;Obstrução;Obstrução;Não;Sim;Abstenção;Não;Não;Não;Abstenção;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-34.853703;-13.266693
BETO FARO;PT;Pará;19;Não;Sim;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Sim;Sim;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-31.71585;-13.740301
CÁSSIO ANDRADE;PSB;Pará;20;Não;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Não;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Sim;OPOSIÇÃO;-21.840076;-22.615372
ELCIONE BARBALHO;MDB;Pará;21;Sim;Sim;Não Votou;Não;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não Votou;GOVERNO;3.9473822;2.792816
DELEGADO ÉDER MAURO;PSD;Pará;22;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;16.504923;14.715439
CELSO SABINO;PSDB;Pará;23;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;20.875877;-0.66897345
CRISTIANO VALE;PL;Pará;25;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;MINORIA;4.7448397;-1.9372171
JOSÉ PRIANTE;MDB;Pará;26;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-5.7036567;-3.6726139
EDMILSON RODRIGUES;PSOL;Pará;27;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Não;Sim;Obstrução;Não;Não;Não;Obstrução;Não;Sim;Não;Obstrução;Sim;Não;Não;Obstrução;Não;Não;Não;Sim;OPOSIÇÃO;-35.250767;-11.931073
EDUARDO COSTA;PTB;Pará;28;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;1.4397681;11.793773
JÚNIOR FERRARI;PSD;Pará;29;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Abstenção;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;7.80187;4.2866335
OLIVAL MARQUES;DEM;Pará;30;Sim;Não Votou;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;11.813871;18.32259
NILSON PINTO;PSDB;Pará;31;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;13.238362;13.437722
HÉLIO LEITE;DEM;Pará;32;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Abstenção;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;12.024761;5.063224
JOAQUIM PASSARINHO;PSD;Pará;33;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;GOVERNO;1.0113589;11.599386
PAULO BENGTSON;PTB;Pará;34;Sim;Não Votou;Não;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;GOVERNO;0.031094547;12.290333
