Nome;Partido;Estado;Codigo;CC01O007E008923;CD01O137E008915;CD01O137E008916;CD01O137E008917;CD01O137E008918;CD01O137E008919;CD01O137E008920;CD01O137E008921;CD01O137E008922;CD01O155E008925;CD01O155E008927;CD01O166O008930;CD01O166O008934;CD01O167E008936;CD01O170O008943;CD01O170O008950;CD01O171E008952;SF01O007E008924;Lado;tsne-1d-one;tsne-2d-two
HAROLDO CATHEDRAL;PSD;Roraima;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;Não Votou;GOVERNO;6.581172;17.648087
EDIO LOPES;PL;Roraima;2;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Abstenção;Não Votou;Não;Não;Sim;Não;Não Votou;Sim;Não Votou;MINORIA;4.3063283;15.673539
JOENIA WAPICHANA;REDE;Roraima;3;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;OPOSIÇÃO;-5.8938074;-18.480722
HIRAN GONÇALVES;PP;Roraima;4;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não Votou;Sim;GOVERNO;-3.9124327;5.5676284
JHONATAN DE JESUS;PRB;Roraima;5;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não Votou;Não Votou;GOVERNO;-11.665006;6.024951
NICOLETTI;PSL;Roraima;6;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Obstrução;Não;Não;Não;Não;Sim;GOVERNO;-10.103153;-2.3914053
OTACI NASCIMENTO;Solidariedade;Roraima;7;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;MINORIA;12.401935;21.186447
SHÉRIDAN;PSDB;Roraima;8;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Sim;Sim;GOVERNO;9.77746;18.53285
ANDRÉ ABDON;PP;Amapá;9;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não Votou;Sim;Sim;Sim;GOVERNO;2.8023436;11.566539
ACÁCIO FAVACHO;PROS;Amapá;10;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Sim;Sim;Não Votou;MINORIA;3.6625183;18.56205
ALINE GURGEL;PRB;Amapá;11;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;GOVERNO;2.3546724;23.271736
CAMILO CAPIBERIBE;PSB;Amapá;12;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;OPOSIÇÃO;-14.606038;-20.207176
LEDA SADALA;Avate;Amapá;14;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;MINORIA;7.7729278;5.186388
PROFESSORA MARCIVANIA;PCdoB;Amapá;15;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;Sim;OPOSIÇÃO;-16.283125;-24.71865
VINICIUS GURGEL;PL;Amapá;16;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;MINORIA;-9.909875;8.809764
LUIZ CARLOS;PSDB;Amapá;17;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Sim;Não Votou;GOVERNO;4.1887426;21.412403
AIRTON FALEIRO;PT;Pará;18;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não Votou;OPOSIÇÃO;-21.321121;-19.632145
BETO FARO;PT;Pará;19;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Não Votou;Não Votou;Não;Sim;Não;Sim;Sim;Sim;OPOSIÇÃO;-19.670572;-22.29921
CÁSSIO ANDRADE;PSB;Pará;20;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Obstrução;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Sim;OPOSIÇÃO;-14.142577;-20.480429
ELCIONE BARBALHO;MDB;Pará;21;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;12.196764;-0.4881173
DELEGADO ÉDER MAURO;PSD;Pará;22;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não;Sim;GOVERNO;13.003473;-4.8212504
CELSO SABINO;PSDB;Pará;23;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;GOVERNO;7.4426126;-11.318669
CRISTIANO VALE;PL;Pará;25;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não;Sim;Não;Sim;MINORIA;14.8295965;8.498855
JOSÉ PRIANTE;MDB;Pará;26;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;GOVERNO;13.696961;-0.40780577
EDMILSON RODRIGUES;PSOL;Pará;27;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-10.191141;-14.735582
EDUARDO COSTA;PTB;Pará;28;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;GOVERNO;-14.326914;5.664204
JÚNIOR FERRARI;PSD;Pará;29;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Sim;GOVERNO;-6.6566534;-0.93675524
OLIVAL MARQUES;DEM;Pará;30;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim;GOVERNO;10.066776;15.107698
NILSON PINTO;PSDB;Pará;31;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;7.993068;1.2669282
HÉLIO LEITE;DEM;Pará;32;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Não Votou;GOVERNO;13.463871;19.493073
