Nome;Partido;Estado;Codigo;CD01O091O008804;CD01O091O008805;CD01O091O008806;CD01O091O008807;CD01O091O008808;CD01O092E008810;CD01O092E008811;CD01O092E008812;CD01O092E008813;CD01O094O008814;CD01O094O008815;CD01O094O008817;CD01O094O008818;CD01O100O008819;CD01O109O008822;CD01O109O008823;CD01O109O008824;CD01O109O008826;CD01O110E008832;CD01O111E008835;CD01O114E008846;CD01O122O008858;CD01O122O008859;CD01O123E008860;CD01O123E008861;CD01O123E008863;CD01O123E008864;CD01O123E008865;CD01O124E008866;CD01O124E008867;CD01O124E008868;CD01O124E008869;CD01O124E008870;CD01O124E008871;CD01O124E008872;CD01O124E008873;CD01O127E008874;CD01O127E008875;CD01O127E008876;CD01O127E008877;CD01O127E008878;CD01O127E008879;CD01O127E008880;CD01O127E008881;CD01O127E008883;CD01O127E008891;CD01O128E008893;CD01O128E008894;CD01O128E008895;Lado;tsne-1d-one;tsne-2d-two
HAROLDO CATHEDRAL;PSD;Roraima;1;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;Abstenção;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Não Votou;Abstenção;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Abstenção;Não;Não;Sim;Não;Não;Não;GOVERNO;12.62334;-16.875881
EDIO LOPES;PR;Roraima;2;Não Votou;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Não;Não;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-3.0594985;12.742722
JOENIA WAPICHANA;REDE;Roraima;3;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não Votou;Não;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-6.9182363;18.871237
HIRAN GONÇALVES;PP;Roraima;4;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-0.39424565;8.814148
JHONATAN DE JESUS;PRB;Roraima;5;Não Votou;Não;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-4.738898;12.954795
NICOLETTI;PSL;Roraima;6;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;GOVERNO;20.524008;-13.099792
OTACI NASCIMENTO;Solidariedade;Roraima;7;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;9.855693;-9.448523
SHÉRIDAN;PSDB;Roraima;8;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Não;GOVERNO;1.7873716;-17.630228
ANDRÉ ABDON;PP;Amapá;9;Não;Não Votou;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não Votou;Sim;Sim;Não Votou;Não;Não;Não Votou;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;GOVERNO;4.522974;-5.3698707
ACÁCIO FAVACHO;PROS;Amapá;10;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;MINORIA;6.054682;6.5820823
