Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
HAROLDO CATHEDRAL;PSD;Roraima;1;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;GOVERNO;8.754422;19.212431
EDIO LOPES;PR;Roraima;2;Não;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;11.556882;5.2138605
JOENIA WAPICHANA;REDE;Roraima;3;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-14.970145;-16.587486
HIRAN GONÇALVES;PP;Roraima;4;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-2.9092197;-4.2247076
JHONATAN DE JESUS;PRB;Roraima;5;Sim;Não Votou;Não;Não Votou;Não;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;14.61552;24.611198
NICOLETTI;PSL;Roraima;6;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;20.116005;8.063156
OTACI NASCIMENTO;Solidariedade;Roraima;7;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;7.624415;3.44141
SHÉRIDAN;PSDB;Roraima;8;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-8.517182;-8.646708
ANDRÉ ABDON;PP;Amapá;9;Não;Sim;Não;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;11.1492195;9.2599
ACÁCIO FAVACHO;PROS;Amapá;10;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Abstenção;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;MINORIA;12.477139;8.744175
ALINE GURGEL;PRB;Amapá;11;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-20.421192;-3.744115
CAMILO CAPIBERIBE;PSB;Amapá;12;Não;Não;Não Votou;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-24.233845;-18.208641
LEDA SADALA;Avate;Amapá;14;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-16.254475;-3.9144902
PROFESSORA MARCIVANIA;PCdoB;Amapá;15;Não;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-20.94796;-17.209602
VINICIUS GURGEL;PR;Amapá;16;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-16.892853;-8.419873
LUIZ CARLOS;PSDB;Amapá;17;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Não;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;4.94363;-1.1755979
AIRTON FALEIRO;PT;Pará;18;Não;Não;Abstenção;Obstrução;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Sim;Não Votou;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-12.571564;-22.590122
BETO FARO;PT;Pará;19;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Não Votou;Obstrução;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-13.773857;-26.861433
